id,screen_name,subset,category,label,n_tweets,verified,friends_count,followers_count,listed_count,favorites_count,hashtag_count,mentions_count,retweet_count,reply_count,url_count,statuses_count,ffratio,avg_hashtag,avg_retweets,avg_replies,avg_mentions,avg_url,avg_user_engagement,unique_word_count,unique_word_use,punctuation_count,avg_sentence_length,punctuation_density,profile_completeness,description_binary,default_profile,default_profile_image,geo_enabled,profile_background_tile,avg_polarity,avg_subjectivity
80479674,yi_twitts,fake_followers,Fake followers,1,0,0.0,255.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.07421875,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,0.2,0.30000000000000004
82487179,marcos_peca,fake_followers,Fake followers,1,0,0.0,866.0,208.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,1408.0,0.23990772779700115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
105830531,curtilorenzo,fake_followers,Fake followers,1,0,0.0,962.0,59.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0612668743509865,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,14.0,0.013157894736842105,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114488344,gatito2710,fake_followers,Fake followers,1,0,0.0,49.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,59.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123222267,MalekKhalaf,fake_followers,Fake followers,1,0,0.0,521.0,60.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,987.0,0.11494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,13.0,10.0,0.08280254777070063,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.5
144602443,ruthyohanna,fake_followers,Fake followers,1,0,0.0,1075.0,141.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,286.0,0.13104089219330856,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,10.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,0.0,0.0
212958140,July_pz,fake_followers,Fake followers,1,0,0.0,342.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.04664723032069971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
278082770,bevega,fake_followers,Fake followers,1,0,0.0,287.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.04861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
367651000,giatadde,fake_followers,Fake followers,1,0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
370098498,pirfectmoses,fake_followers,Fake followers,1,0,0.0,588.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,24.0,0.006791171477079796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
