id,screen_name,subset,category,label,n_tweets,verified,friends_count,followers_count,listed_count,favorites_count,hashtag_count,mentions_count,retweet_count,reply_count,url_count,statuses_count,ffratio,avg_hashtag,avg_retweets,avg_replies,avg_mentions,avg_url,avg_user_engagement,unique_word_count,unique_word_use,punctuation_count,avg_sentence_length,punctuation_density,profile_completeness,description_binary,default_profile,default_profile_image,geo_enabled,profile_background_tile,avg_polarity,avg_subjectivity
3610511,braddd,E13,Humans (E13 — elections 2013),0,0,0.0,2385.0,5470.0,52.0,145.0,0.0,0.0,0.0,0.0,0.0,20370.0,2.2925398155909473,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,19.0,1.2857142857142858,0.12582781456953643,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5656162,eKoeS,E13,Humans (E13 — elections 2013),0,0,0.0,381.0,506.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0,3131.0,1.324607329842932,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,8.0,4.666666666666667,0.07692307692307693,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5682702,tacone_,E13,Humans (E13 — elections 2013),0,0,0.0,87.0,264.0,16.0,323.0,0.0,0.0,0.0,0.0,0.0,4024.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.045454545454545456,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6067292,alesstar,E13,Humans (E13 — elections 2013),0,0,0.0,622.0,640.0,32.0,1118.0,0.0,0.0,0.0,0.0,0.0,40586.0,1.0272873194221508,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,7.0,0.05555555555555555,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6015122,PerDiletto,E13,Humans (E13 — elections 2013),0,0,0.0,64.0,62.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.9538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6140012,crispaol,E13,Humans (E13 — elections 2013),0,0,0.0,179.0,138.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,3603.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,2.0,6.0,0.05405405405405406,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0.0
6134312,tmpx,E13,Humans (E13 — elections 2013),0,0,0.0,168.0,128.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1183.0,0.757396449704142,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.8214285714285714,6.0,5.6,0.04081632653061224,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,-0.27,0.6399999999999999
6684602,Igor99,E13,Humans (E13 — elections 2013),0,0,0.0,1770.0,1062.0,5.0,597.0,0.0,0.0,0.0,0.0,0.0,6194.0,0.5996612083568605,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,11.0,0.016129032258064516,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7046912,marcomassarotto,E13,Humans (E13 — elections 2013),0,0,0.0,958.0,23368.0,715.0,590.0,0.0,0.0,0.0,0.0,0.0,10962.0,24.367049009384775,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.7142857142857143,8.0,2.3333333333333335,0.11764705882352941,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7470952,personanormale,E13,Humans (E13 — elections 2013),0,0,0.0,712.0,760.0,27.0,693.0,0.0,0.0,0.0,0.0,0.0,10947.0,1.0659186535764376,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.9130434782608695,4.0,7.666666666666667,0.03278688524590164,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,0.0,0.0
